Date : 2021-04-07 11:29:51
Directory : d:\ИГ\RSSchoolAngular\rslang\src\app
Total : 289 files,  9148 codes, 20 comments, 1558 blanks, all 10726 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        195 |      6,075 |         17 |      1,097 |      7,189 |
| SCSS       |         47 |      1,909 |          2 |        344 |      2,255 |
| HTML       |         47 |      1,164 |          1 |        117 |      1,282 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        289 |      9,148 |         20 |      1,558 |     10,726 |
| auth                                                                                                                                           |         15 |        706 |          0 |        108 |        814 |
| auth\const                                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| auth\models                                                                                                                                    |          1 |         13 |          0 |          2 |         15 |
| auth\pages                                                                                                                                     |          9 |        579 |          0 |         82 |        661 |
| auth\pages\login                                                                                                                               |          4 |        248 |          0 |         36 |        284 |
| auth\pages\signup                                                                                                                              |          5 |        331 |          0 |         46 |        377 |
| auth\services                                                                                                                                  |          3 |         95 |          0 |         19 |        114 |
| core                                                                                                                                           |         44 |        932 |          0 |        174 |      1,106 |
| core\components                                                                                                                                |         17 |        453 |          0 |         79 |        532 |
| core\components\footer                                                                                                                         |          4 |        125 |          0 |         19 |        144 |
| core\components\header                                                                                                                         |          5 |        219 |          0 |         35 |        254 |
| core\components\logo                                                                                                                           |          4 |         35 |          0 |         11 |         46 |
| core\components\not-found                                                                                                                      |          4 |         74 |          0 |         14 |         88 |
| core\constants                                                                                                                                 |          8 |         97 |          0 |         18 |        115 |
| core\models                                                                                                                                    |         12 |        193 |          0 |         30 |        223 |
| core\services                                                                                                                                  |          6 |        175 |          0 |         44 |        219 |
| main                                                                                                                                           |         19 |        526 |          3 |        103 |        632 |
| main\components                                                                                                                                |         12 |        261 |          3 |         55 |        319 |
| main\components\about-team                                                                                                                     |          4 |         80 |          3 |         18 |        101 |
| main\components\demo                                                                                                                           |          4 |         54 |          0 |         12 |         66 |
| main\components\teammate-card                                                                                                                  |          4 |        127 |          0 |         25 |        152 |
| main\pages                                                                                                                                     |          4 |        178 |          0 |         31 |        209 |
| main\pages\home-page                                                                                                                           |          4 |        178 |          0 |         31 |        209 |
| main\services                                                                                                                                  |          2 |         72 |          0 |         14 |         86 |
| material                                                                                                                                       |          1 |         69 |          0 |          2 |         71 |
